Employee_ID,Name,Age,Gender,Department,Job_Role,Education_Level,Years_of_Experience,Monthly_Salary_USD,Work_Hours_Per_Week,Projects_Completed,Training_Hours,Attendance_Rate,Job_Satisfaction_Score,Performance_Score,Performance_Rating,Promotion_Last_Year
42,8213,57,0,0,3,2,32,94748,51,7,73,97.19,9,100,1,1
43,8872,49,1,3,3,0,24,94299,38,7,0,90.43,6.6,80.2,2,1
44,28,54,1,1,4,0,29,161726,42,15,20,71.3,8.93,100,1,1
45,7024,35,0,5,1,0,9,119703,32,16,56,97.46,9.4,96.33,1,1
46,8532,49,0,1,4,0,26,98088,57,5,40,77.8,7.81,78.64,2,1
47,7065,41,0,5,3,2,17,113793,32,6,68,88.4,9.13,92.6,1,1
48,4064,26,0,4,5,0,1,162474,44,17,10,87.82,9.15,92.34,1,1
49,7139,34,1,0,5,0,14,170642,45,23,5,90.75,10,100,1,1
50,832,44,1,1,0,2,20,147091,46,21,77,76.15,9.06,100,1,1
51,4353,22,1,1,4,2,2,92049,37,7,25,84.94,7.12,72.07,2,0
52,8158,26,0,2,5,1,1,143682,60,15,22,92.65,9.73,88.54,1,1
53,2471,59,0,4,0,0,32,132318,47,15,50,97.12,7.83,100,1,1
54,6818,51,1,2,3,2,25,95569,33,10,55,95.26,9.52,100,1,1
55,3101,34,1,0,2,2,9,148243,54,23,54,87.54,9.19,100,1,1
56,4997,25,1,0,2,0,1,113061,47,19,18,94.65,7.62,89.18,1,1
57,2335,42,0,2,4,0,17,70488,43,2,48,85.1,8,79.53,2,1
58,7897,43,1,0,3,2,17,40302,55,4,0,72.54,5.85,58.1,0,0
59,8435,43,0,6,1,2,18,108030,31,13,25,71.1,8.01,89.96,1,1
60,6243,44,0,3,3,2,19,41062,55,6,14,73.15,6.82,62.41,0,0
61,4635,43,1,2,5,2,22,113358,49,4,9,93.68,7.49,74.95,2,0
62,6731,29,1,0,0,0,2,47260,34,6,51,89.38,6.05,51.08,3,0
63,391,27,1,5,1,1,3,68746,35,6,3,95.52,6.77,58.65,0,0
64,3933,27,0,4,2,0,2,66469,54,2,78,86.05,7.39,74.76,2,0
65,6344,25,0,3,5,0,3,36988,44,1,13,78.66,4.27,40,3,0
66,8791,24,1,1,3,0,4,59216,39,12,1,79.67,7.17,64.12,0,1
67,2935,36,1,0,1,2,9,160792,46,5,61,92.38,9.08,92.26,1,1
68,4935,55,0,2,1,0,32,176740,58,8,10,93.86,8.71,91.43,1,1
69,1883,58,0,4,0,0,34,129711,33,13,41,81.77,10,100,1,1
70,5182,59,1,6,5,2,39,157506,46,1,65,86.31,10,100,1,1
71,1393,27,0,0,0,0,2,141356,49,15,28,84.86,10,90.57,1,1
72,5711,59,1,5,2,0,39,145180,30,4,65,92.87,10,100,1,1
73,358,52,0,3,3,3,26,129666,34,15,67,91.67,10,100,1,1
74,4652,57,0,0,3,2,34,92443,40,10,37,76.82,9.08,96.87,1,1
75,7726,47,1,1,5,0,23,155310,44,8,59,87.79,10,100,1,1
76,679,30,0,4,5,0,5,153374,40,23,0,73.4,10,95.65,1,1
77,7100,42,0,2,0,0,16,163509,54,21,25,80,7.68,100,1,1
78,7079,23,1,1,2,0,1,79956,40,12,50,77.45,7.31,70.37,2,0
79,6798,50,0,1,4,0,24,114917,50,17,70,99.27,8.37,100,1,1
80,7277,49,0,2,5,1,23,149676,42,23,50,76.3,10,100,1,1
81,2618,50,1,0,0,3,25,101485,43,19,46,85.83,10,100,1,1
82,1636,59,1,2,3,0,37,171974,36,3,31,78.17,10,91.79,1,1
83,4815,49,1,5,5,2,22,63300,52,3,58,85.17,8.33,73.22,2,1
84,6646,54,0,1,2,0,31,176925,53,14,31,95.67,10,100,1,1
85,1271,52,1,6,0,1,26,98705,30,23,18,73.68,10,100,1,1
86,3641,22,1,0,0,2,1,43192,31,3,11,94.92,4.82,54.94,3,0
87,5979,55,0,3,0,0,31,127599,41,24,73,86.97,10,100,1,1
88,8390,38,0,4,5,0,17,145961,31,13,24,77.74,8.45,86.34,1,1
89,7081,50,0,5,2,2,26,168411,47,21,41,87.3,8.3,100,1,1
90,5698,44,1,5,2,0,20,87529,60,6,39,77.52,9.66,73.67,2,0
91,1122,47,0,1,1,0,23,147492,31,22,64,72.48,10,100,1,1
92,6426,32,1,3,5,0,5,115364,36,8,53,84.28,8.08,78.99,2,1
93,4789,57,1,0,4,0,31,164666,46,13,72,93.13,10,100,1,1
94,7884,46,0,1,3,0,20,91341,41,19,11,80.83,9.77,100,1,1
95,3299,37,1,6,3,2,10,167454,52,5,79,95.48,7.18,88.38,1,1
96,2023,47,0,6,0,1,27,127198,36,17,22,86.67,9.72,100,1,1
97,6847,28,1,1,2,0,8,179613,58,18,38,83.65,10,100,1,1
98,529,52,0,3,3,0,25,116846,32,5,42,80.2,8.15,80.11,2,0
99,3662,25,1,5,0,2,1,156081,45,13,41,96.3,6.17,85.4,1,1
100,4177,51,0,5,0,1,29,163972,32,7,45,80.52,10,88.92,1,1
101,246,37,0,2,0,0,10,64951,54,7,4,91.97,6.63,67.61,0,0
102,6406,25,1,2,5,0,4,133001,43,15,72,73.28,8.82,90.91,1,1
103,9073,58,1,3,1,0,34,171470,53,14,10,97.11,9.34,100,1,1
104,6978,31,1,1,5,0,9,43832,55,3,5,94.02,5.25,46.82,3,0
105,8635,56,0,5,2,1,33,144028,32,18,61,99.89,10,100,1,1
106,887,46,1,5,0,1,26,178801,38,24,66,78.19,9.97,100,1,1
107,2194,33,1,2,3,3,12,69125,56,2,78,70.15,6.6,64.99,0,0
108,2576,34,0,2,0,0,11,176231,42,19,57,87.14,10,100,1,1
109,7026,40,1,2,2,2,13,176206,45,9,12,95.11,10,97.79,1,1
110,671,48,1,5,2,0,23,126509,55,19,30,94.77,9.17,100,1,1
111,357,52,1,4,3,3,31,124832,41,7,65,78.61,10,100,1,1
112,2131,52,0,5,2,2,31,91435,35,19,29,70.55,9.76,100,1,1
113,3617,36,0,4,4,2,11,163609,33,18,67,79.03,10,100,1,1
114,8263,22,0,0,0,2,1,117083,43,15,28,83.38,10,95.62,1,1
115,7993,28,1,4,2,0,4,179186,55,23,25,74.77,9.95,100,1,1
116,8934,34,1,6,3,0,14,112042,40,20,31,72.47,10,100,1,1
117,5,24,1,3,3,1,4,95626,44,16,58,98.94,10,100,1,1
118,6472,22,1,6,0,1,1,79994,32,17,24,91.45,10,74.32,2,0
119,1752,46,0,6,2,0,26,90526,47,20,70,88.79,10,100,1,1
120,9289,46,0,2,1,0,21,45109,49,4,8,76.02,6.55,65.68,0,0
121,1702,23,0,5,5,0,1,141195,50,18,63,81.87,10,100,1,1
122,3992,59,0,4,2,0,39,138787,38,17,75,99.6,8.84,100,1,1
123,8559,54,1,1,4,2,33,75525,31,1,32,96.48,6.38,74.86,2,1
124,758,36,0,3,5,0,15,93320,40,3,5,87.84,9.3,77.73,2,0
125,2694,29,0,4,4,2,2,164137,44,7,74,96.84,10,100,1,1
126,3967,24,1,1,1,2,1,92356,47,22,11,77.41,8.27,87.95,1,1
127,8438,53,1,4,0,0,31,135500,51,5,55,99.24,10,100,1,1
128,7260,50,1,2,4,0,25,115963,59,21,30,82.48,10,100,1,1
129,301,41,0,2,2,0,18,119426,38,4,65,87.93,10,92.86,1,1
130,4018,33,1,5,5,2,11,95133,55,8,41,77.13,8.56,73.86,2,1
131,1662,35,1,3,0,2,8,81927,35,17,27,77.74,9.03,78.71,2,1
132,3945,57,0,6,2,0,33,109816,32,22,13,79.93,9.41,100,1,1
133,2242,22,1,0,4,0,1,99847,54,22,27,71.1,10,97.63,1,1
134,7641,49,1,3,2,1,23,117420,49,18,77,71.71,10,100,1,1
135,860,22,1,5,3,0,1,45398,34,1,50,71.25,4.9,44.44,3,0
136,2411,52,0,1,4,2,25,100225,49,23,44,74.31,10,100,1,1
137,2461,42,1,5,1,2,22,171040,44,22,46,90.78,10,100,1,1
138,4867,47,1,2,4,1,20,109508,37,14,67,90.3,8.86,100,1,1
139,3199,26,0,3,0,0,6,79614,35,9,32,82.21,7.72,72.98,2,0
140,2561,25,0,4,4,0,4,61367,48,6,12,93.93,7.51,77.68,2,1
141,2002,28,0,2,4,0,8,98927,36,15,20,81.41,10,100,1,1
142,2222,56,0,0,2,0,33,96471,43,14,73,92.78,10,100,1,1
143,9030,23,1,5,0,1,1,116966,41,5,47,87.41,9.34,86.13,1,1
144,6588,27,1,0,2,2,2,98906,50,23,79,89.42,10,100,1,1
145,4953,36,0,4,2,1,13,116463,43,4,51,90.1,9.21,84.41,2,1
146,5869,51,0,5,4,0,30,93654,54,11,6,90.43,8.67,100,1,1
147,3040,57,1,6,1,0,34,113669,41,24,44,88.99,10,100,1,1
148,6170,42,1,1,5,2,17,124084,39,24,41,97,9.31,100,1,1
149,534,25,1,3,4,2,4,154174,39,18,18,88.72,8.76,100,1,1
150,2221,56,1,6,3,1,33,147993,51,16,36,89.26,10,100,1,1
151,4086,30,1,2,1,2,5,41543,31,3,6,90.85,2.09,40,3,0
152,7815,40,0,1,3,2,17,42472,33,8,35,75.76,6.09,67.97,0,0
153,386,34,0,3,3,3,14,135113,56,21,7,96.4,10,100,1,1
154,5308,24,0,6,4,2,1,104843,35,17,34,91.92,8.37,84.22,2,1
155,4537,26,1,6,5,2,2,47446,45,10,61,82.68,6.34,68.36,0,0
156,4837,26,1,3,5,1,3,166559,59,21,69,77.71,10,100,1,1
157,8336,33,0,5,1,0,8,174416,30,23,65,81.43,9.28,100,1,1
158,3217,32,0,6,0,0,10,154612,47,23,5,97.58,10,100,1,1
159,3667,33,1,4,0,0,7,130461,32,24,29,91.64,9.55,100,1,1
160,7201,30,0,1,2,0,4,164520,32,18,77,99.27,10,100,1,1
161,7064,54,0,2,1,2,31,138244,51,14,51,85.08,9.69,100,1,1
162,4009,55,1,3,5,0,28,164270,33,13,59,93.3,9.03,100,1,1
163,6440,35,0,3,1,0,12,113889,58,11,1,89.51,8.72,72.25,2,1
164,6721,52,1,6,2,0,25,113291,32,21,72,93.48,9.44,100,1,1
165,4416,54,1,2,3,2,31,132468,57,20,51,89.67,10,100,1,1
166,6902,56,1,4,1,2,30,163294,34,22,4,70.33,7.41,100,1,1
167,8820,42,1,6,3,2,21,143744,42,21,52,94.05,10,100,1,1
168,1442,32,0,6,3,0,6,44056,59,4,33,79.74,6.87,51.59,3,0
169,6538,50,0,1,3,1,27,139723,42,17,63,93.61,8.88,100,1,1
170,2974,50,0,1,4,3,30,163616,50,11,33,81.59,9.44,97.12,1,1
171,3585,44,1,5,4,1,17,47788,52,5,7,71.25,6.1,65.52,0,0
172,8072,56,0,3,3,0,29,166295,55,14,10,99.12,8.22,100,1,1
173,3267,31,1,3,5,0,6,52504,37,8,24,99.28,6.03,69.15,0,0
174,7627,31,0,0,0,0,7,147866,42,21,31,92.44,10,100,1,1
175,1980,31,1,1,5,0,5,93453,37,14,21,78.21,8.52,80.09,2,1
176,1264,42,0,4,5,2,20,104571,38,15,17,89.08,10,100,1,1
177,9180,53,1,4,2,0,31,134638,51,13,1,73.95,10,100,1,1
178,5149,36,0,3,3,0,14,76406,40,5,60,92.3,8.4,81.58,2,0
179,2317,46,0,1,0,0,19,69545,37,1,4,96.44,5.37,59.88,0,0
180,6382,46,1,4,2,2,25,100805,31,9,12,86.16,9.56,94.76,1,1
181,3175,33,1,2,0,0,13,113762,54,20,74,92.69,10,100,1,1
182,9047,58,0,5,4,0,37,149796,39,24,25,81.75,9.25,100,1,1
183,1552,31,1,3,5,0,6,113225,49,17,70,84.43,10,100,1,1
184,1689,25,0,1,1,2,1,152539,48,19,48,89.09,9.18,100,1,1
185,2830,51,0,6,4,2,30,123937,48,16,44,74.42,8.13,100,1,1
186,7982,49,0,2,4,2,27,117742,42,1,16,89.13,7.05,70.64,2,1
187,3498,35,0,2,0,0,12,96397,34,20,60,99.39,9.14,100,1,1
188,3629,27,1,0,3,1,7,42096,39,3,45,76.77,3.4,56.25,0,0
189,3840,26,1,3,1,0,3,103493,36,18,34,83.11,10,98.56,1,1
190,5552,52,0,3,3,2,29,163997,53,12,29,71.09,8.39,93.41,1,1
191,3181,31,1,6,0,0,4,75892,42,6,43,74.69,9.58,75.47,2,1
192,6479,54,0,6,0,0,32,167465,53,11,19,73.84,10,98.45,1,1
193,3566,35,1,5,0,0,15,119055,32,23,36,86.96,9.96,100,1,1
194,7679,33,1,2,0,0,13,97521,33,10,70,90.51,9.82,97.85,1,1
195,8464,49,1,6,1,2,28,173457,46,2,69,76.78,10,94.8,1,1
196,5956,43,0,1,0,0,16,120651,45,19,38,86.36,9.27,100,1,1
197,4031,31,0,6,5,0,9,95774,36,21,19,86.35,10,100,1,1
198,5675,42,1,3,1,1,16,132951,58,9,39,99.55,8.23,89.69,1,1
199,5968,54,1,4,4,0,33,123243,54,18,42,93.27,10,100,1,1
200,3294,57,1,6,5,2,33,127711,44,16,41,83.43,10,100,1,1
201,5297,24,0,1,2,1,1,47071,35,1,0,71,3.21,40.05,3,0
202,5013,58,1,4,1,2,35,132870,38,12,10,85.16,10,100,1,1
203,7753,42,0,3,4,2,17,178708,55,23,26,90.61,10,100,1,1
204,1043,56,0,2,4,0,32,116475,47,6,59,79.43,9.88,100,1,1
205,5153,30,0,4,2,0,6,119042,57,16,20,73.39,7.52,79.84,2,1
206,2230,39,1,6,1,2,18,127346,34,12,10,95.31,9.03,87.34,1,1
207,3250,49,0,2,4,0,23,161906,30,8,62,80.21,9.29,88.62,1,1
208,2511,35,1,6,5,1,12,157990,57,13,78,77.81,10,99.39,1,1
209,7878,48,0,4,1,0,27,113383,50,8,61,81.41,9.91,100,1,1
210,7533,35,1,4,5,1,14,168610,43,19,2,92.62,9.47,100,1,1
211,4180,35,0,5,4,2,8,101240,46,9,63,87.02,9.45,100,1,1
212,5095,35,0,0,4,2,10,69277,37,2,40,99.67,9.78,75.31,2,0
213,1641,51,1,4,0,2,28,162692,60,21,68,77.57,8.48,100,1,1
214,6314,30,0,0,5,0,6,41851,53,1,7,85.52,3.31,40,3,0
215,921,36,0,3,3,0,16,108230,37,21,50,83.36,10,100,1,1
216,8720,28,1,4,4,0,5,122327,32,22,65,78.15,9.98,100,1,1
217,7120,44,1,2,0,0,19,84000,58,12,5,71.37,6.66,73.55,2,1
218,1083,56,0,5,4,0,29,107087,46,13,60,70.17,9.42,100,1,1
219,5612,30,0,2,5,0,3,170650,50,19,58,85.22,10,100,1,1
220,286,40,1,4,3,0,18,162124,37,12,18,82.33,9.74,92.3,1,1
221,1942,54,1,3,0,2,30,113377,37,14,29,77.73,9.39,100,1,1
222,8051,39,0,2,4,2,18,114306,34,19,27,86.49,10,100,1,1
223,4413,36,1,6,3,1,16,106619,39,2,50,87.81,8.63,78.76,2,1
224,2164,27,1,5,1,2,5,31856,45,8,1,70.35,4.14,47.9,3,0
225,4995,36,1,4,5,1,15,126268,60,23,23,89.57,10,100,1,1
226,5743,30,0,4,4,1,6,56743,31,3,66,95.73,7.54,67.29,0,0
227,3374,53,0,4,4,0,32,129332,30,24,38,85.35,8.97,100,1,1
228,8777,22,0,0,3,1,2,71120,57,18,34,80.22,7.74,84.51,2,0
229,2036,26,0,3,4,0,1,34652,30,4,49,84.57,4.85,53.23,3,0
230,8598,25,0,4,2,0,4,42169,56,10,50,70.7,8.31,67.08,0,1
231,7868,58,0,3,0,1,36,149500,38,17,28,78.65,10,100,1,1
232,3997,53,1,5,3,2,26,154386,46,13,33,75.05,9.51,100,1,1
233,1733,55,1,1,5,2,28,120654,43,12,20,98.99,10,100,1,1
234,8573,45,1,6,0,0,21,134695,33,19,16,92.04,8.8,100,1,1
235,123,40,1,3,3,2,16,86421,34,4,18,73.97,8.95,73.9,2,1
236,2570,33,1,0,4,0,8,150011,46,24,19,84,10,100,1,1
237,5597,53,0,1,4,2,28,158344,40,1,61,92.85,7.36,97.75,1,1
238,3314,38,0,0,0,1,16,172035,48,15,3,94.2,9.99,100,1,1
239,664,38,1,0,1,3,18,93905,56,5,12,99.15,7.34,82.06,2,1
240,917,50,0,4,0,2,25,148653,59,21,79,94.59,9.13,100,1,1
241,4489,51,1,1,0,1,25,176156,37,7,29,70.43,9.44,89.22,1,1
242,2821,29,0,2,5,3,5,45743,32,2,62,72.66,4.61,46.37,3,0
243,4420,25,0,0,2,0,1,72449,32,14,59,87.31,8.22,78.83,2,0
244,6172,37,1,1,0,0,12,160263,53,15,30,76.97,9.21,98.37,1,1
245,7106,48,1,5,5,0,23,120750,38,21,12,88.1,8.69,100,1,1
246,7221,38,0,4,0,2,12,79323,33,8,53,72.15,7.34,65.53,0,0
247,298,45,1,6,4,2,19,127713,56,23,7,78.14,9.55,95.8,1,1
248,5074,55,1,3,5,0,29,152551,54,17,25,91.45,10,100,1,1
249,9078,29,0,3,5,0,9,95571,58,11,64,73.9,9.19,90.01,1,1
250,6712,57,1,5,2,1,36,129129,35,16,55,98.92,9.42,100,1,1
251,1432,50,1,2,0,1,30,144040,52,21,20,96.27,9.17,100,1,1
252,7542,51,0,0,2,0,31,177592,34,10,16,80.8,10,96.4,1,1
253,5103,56,0,4,2,0,30,171423,38,7,12,82.5,9.7,93.96,1,1
254,3612,30,1,4,1,1,10,137377,33,13,44,71.08,8.5,86.62,1,1
255,7663,24,0,3,3,1,1,100293,37,22,53,87.38,10,100,1,1
256,53,31,0,5,0,0,7,77058,42,5,23,95.15,7.46,73.79,2,1
257,1723,59,1,3,3,1,39,133791,54,4,59,81.93,10,100,1,1
258,6780,38,0,3,2,0,11,88038,50,10,58,81.48,7.76,82.33,2,1
259,6187,46,1,6,4,2,26,146547,59,12,15,87.04,10,99.95,1,1
260,4212,30,0,2,5,1,3,93870,37,13,58,79.09,6.78,84.22,2,1
261,2871,47,0,2,3,1,24,128458,49,18,74,98.88,9.35,100,1,1
262,6119,47,1,2,0,2,24,97006,39,13,10,99.45,10,100,1,1
263,7030,49,0,2,4,0,27,101033,53,22,59,86.16,9.62,100,1,1
264,4362,26,1,0,1,2,3,87076,47,6,26,92.83,7.3,74.46,2,0
265,2229,43,1,1,1,0,18,53979,60,3,5,83.37,6.46,60.87,0,0
266,4947,37,0,0,0,1,14,94064,54,12,10,83.77,8.93,76.11,2,0
267,8871,37,0,5,0,1,16,87691,59,4,64,83.75,8.49,80.77,2,1
268,8919,31,1,3,0,0,8,95722,40,21,41,79.65,10,100,1,1
269,6921,43,0,5,2,0,19,143574,42,13,9,97.04,10,100,1,1
270,4474,24,1,4,2,0,1,112160,46,7,77,88.66,8.65,70.41,2,1
271,4543,47,1,6,0,1,23,94540,40,9,4,71.08,8.17,83.55,2,1
272,2996,25,1,0,3,2,1,135607,41,19,18,74.31,9.28,94.29,1,1
273,4341,26,0,6,0,2,2,150315,44,18,7,75.58,8.92,93.39,1,1
274,2978,48,1,0,3,0,25,174995,32,15,23,94.8,10,100,1,1
275,3828,24,0,6,3,1,3,122252,49,23,68,81.75,10,100,1,1
276,1194,27,1,6,1,2,3,135475,58,20,2,96.48,8.92,98.3,1,1
277,1119,26,0,1,1,0,2,67214,34,16,26,78.14,6.72,75.4,2,0
278,6033,37,0,4,3,2,10,164704,46,16,58,82.43,8.25,100,1,1
279,1073,32,0,2,5,0,5,132712,45,20,24,73.9,10,100,1,1
280,3058,57,0,1,2,1,37,109873,30,15,22,73.75,10,100,1,1
281,4548,50,0,4,4,0,30,143312,50,3,62,92.94,10,97.89,1,1
282,1160,38,0,3,4,0,16,169747,46,19,42,95.17,10,100,1,1
283,2213,45,1,4,5,2,23,157391,46,8,64,79.27,9.67,97.14,1,1
284,9058,56,0,0,2,0,34,176328,54,20,67,88.75,9.44,100,1,1
285,3458,58,0,6,2,0,31,90112,45,23,50,70.36,10,100,1,1
286,8175,33,0,5,2,0,8,71802,46,6,4,91.98,6.38,65.31,0,0
287,8584,40,1,1,1,0,15,69741,36,4,32,89.25,9.66,82.16,2,0
288,673,50,1,1,0,1,23,91988,54,8,61,85.56,8.86,97.84,1,1
289,4280,39,1,2,2,2,18,45755,41,7,2,76.16,5.85,59.8,0,0
290,5615,59,1,6,2,0,34,116990,44,6,19,78.92,9.19,100,1,1
291,4413,23,0,4,2,2,1,96963,44,10,72,91.2,8.91,79.8,2,1
292,3778,23,1,0,0,0,1,174381,39,21,78,76.39,10,100,1,1
293,5459,46,0,2,3,0,22,171132,36,17,8,83.51,10,100,1,1
294,7774,53,0,4,5,0,26,150686,47,22,49,72.78,10,100,1,1
295,1671,25,1,0,0,2,1,100278,53,17,42,89.13,8.96,99.33,1,1
296,8957,44,1,6,5,2,18,87586,43,5,42,77.43,7.57,82.88,2,1
297,6168,54,0,4,0,2,32,90869,35,19,35,97.98,10,100,1,1
298,7345,22,0,4,2,2,1,175947,39,17,72,76.19,10,92.62,1,1
299,1211,49,0,2,0,1,29,173961,56,21,1,88.91,8.98,100,1,1
300,9324,57,0,5,4,2,36,131094,31,22,10,87.97,8.69,100,1,1
301,5672,45,0,2,2,0,22,125529,35,18,0,97.72,9,100,1,1
302,6993,49,1,0,3,2,25,147620,49,19,34,94.18,8.01,100,1,1
303,2907,45,0,4,3,3,25,149500,43,10,48,85.17,9.15,100,1,1
304,6487,56,0,4,3,0,30,141925,52,17,75,95.76,10,100,1,1
305,4848,30,0,6,3,0,6,131605,43,20,22,82.89,10,100,1,1
306,5052,39,1,2,1,0,14,84690,59,11,31,96.73,6.97,82.29,2,1
307,3001,30,1,4,1,2,9,98328,48,22,14,92.48,10,100,1,1
308,7629,54,0,0,0,1,29,91920,44,10,64,76.11,8.04,100,1,1
309,31,55,1,5,5,2,31,105810,58,7,25,85.37,9,94.22,1,1
310,2451,28,1,5,5,2,7,126468,59,17,42,72.07,8.89,100,1,1
311,7787,53,0,2,1,0,32,166274,38,24,55,95.08,10,100,1,1
312,8642,28,1,0,0,2,3,113185,42,15,2,70.4,7.72,87.96,1,1
313,4969,23,1,4,4,0,1,96945,54,8,35,95.44,7.37,73.31,2,1
314,8146,36,1,0,0,1,13,117197,32,19,2,80.52,8.41,85.97,1,1
315,828,25,1,0,0,0,3,63675,40,11,1,89.85,6.96,69.71,0,1
316,3154,36,0,2,0,0,9,134386,34,16,44,80.51,10,100,1,1
317,3336,58,1,5,2,2,36,166674,57,9,5,92.5,10,100,1,1
318,2638,42,1,1,3,2,15,150935,51,10,75,84.22,10,93.71,1,1
319,2620,23,1,1,4,1,1,47485,44,16,1,74.01,4.22,62.96,0,0
320,8278,59,0,4,2,0,39,60922,58,1,44,94.78,7.98,82.77,2,1
321,3593,43,0,6,4,2,22,106544,52,23,69,93.6,10,100,1,1
322,7204,49,0,6,1,0,22,175679,58,21,34,94.73,10,100,1,1
323,965,27,1,0,3,1,7,128437,37,13,17,95.35,7.41,89.43,1,1
324,2428,48,0,5,2,1,25,166234,58,10,66,99.93,9.76,100,1,1
325,6450,42,0,4,4,0,20,108483,50,3,37,70.51,7.96,74.77,2,1
326,1035,36,0,0,2,2,9,98210,34,21,9,81.72,9.14,97.41,1,1
327,3063,23,0,2,4,0,2,158798,48,23,23,81.37,8.49,100,1,1
328,6410,26,0,1,4,0,4,112113,46,10,37,87.79,7.67,83.27,2,1
329,6096,39,1,5,4,1,12,70066,52,9,58,90.91,9.09,82.26,2,0
330,6261,28,0,3,1,0,5,176795,47,15,45,75.09,10,100,1,1
331,2107,41,0,3,0,1,16,114519,42,13,65,87.18,9.8,100,1,1
332,4187,43,1,1,1,0,20,179132,49,20,54,96.49,10,100,1,1
333,7475,48,1,6,5,3,24,146583,48,20,36,96.92,10,100,1,1
334,8419,36,0,4,4,2,10,177985,36,21,11,94.51,9.25,100,1,1
335,2773,28,0,0,4,0,5,147124,35,24,9,72.24,7.46,100,1,1
336,6657,29,0,6,2,0,2,172956,37,24,59,94.8,8.7,100,1,1
337,3087,53,1,4,4,0,30,100335,47,6,21,84.54,8.21,100,1,1
338,7209,26,0,4,2,2,1,120134,45,23,16,83.25,10,100,1,1
339,4600,55,1,2,0,0,35,176694,41,8,16,95.87,8.07,100,1,1
340,8815,34,1,3,0,2,14,107618,50,18,76,92.25,8.44,99.13,1,1
341,948,28,1,1,4,1,8,73900,54,8,12,96.7,8.63,72.89,2,1
